"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Проверка успешного SPA-перехода на дашборд проектов после ввода валидных кредов","Qase Ultimate Full Automation Suite","2026-07-28","broken","2026-07-28","tests.ui.LoginTest","Phase 3 - UI Tests Firefox","tests.ui.LoginTest","checkSuccessfulLogin"
"Гибридный тест. Быстро готовит репозиторий через бэкэнд, а затем кликами в UI собирает релизный план на базе ИИ-заголовка","1","Проверка создания тест-плана, открытия дровера выбора кейсов и клика по чекбоксам","Qase Ultimate Full Automation Suite","2026-07-28","skipped","2026-07-28","tests.ui.TestPlanUiTest","Phase 2 - UI Tests Chrome","tests.ui.TestPlanUiTest","checkCreateTestPlanViaUi"
"","1","prepareDataViaApi","Qase Ultimate Full Automation Suite","2026-07-28","failed","2026-07-28","tests.ui.TestPlanUiTest","Phase 2 - UI Tests Chrome","tests.ui.TestPlanUiTest","prepareDataViaApi"
"Сквозной бэкенд тест. Генерирует шаги на русском языке через Qwen, валидирует сохранение ID и делает Patch-апдейт структуры","1091","Проверка последовательного создания, обновления, чтения и удаления кейса с ИИ-генерацией шагов","Qase Ultimate Full Automation Suite","2026-07-28","passed","2026-07-28","tests.api.CaseApiTest","Phase 1 - Pure API Tests Run","tests.api.CaseApiTest","checkCRUDCase"
"","0","cleanupApi","Qase Ultimate Full Automation Suite","2026-07-28","failed","2026-07-28","tests.ui.TestPlanUiTest","Phase 4 - UI Tests Edge","tests.ui.TestPlanUiTest","cleanupApi"
"","0","prepareDataViaApi","Qase Ultimate Full Automation Suite","2026-07-28","failed","2026-07-28","tests.ui.TestPlanUiTest","Phase 3 - UI Tests Firefox","tests.ui.TestPlanUiTest","prepareDataViaApi"
"","3863","Проверка успешного SPA-перехода на дашборд проектов после ввода валидных кредов","Qase Ultimate Full Automation Suite","2026-07-28","broken","2026-07-28","tests.ui.LoginTest","Phase 4 - UI Tests Edge","tests.ui.LoginTest","checkSuccessfulLogin"
"","30","Проверка вывода глобального алерта безопасности при неверном пароле","Qase Ultimate Full Automation Suite","2026-07-28","broken","2026-07-28","tests.ui.LoginTest","Phase 3 - UI Tests Firefox","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","0","prepareDataViaApi","Qase Ultimate Full Automation Suite","2026-07-28","failed","2026-07-28","tests.ui.TestPlanUiTest","Phase 4 - UI Tests Edge","tests.ui.TestPlanUiTest","prepareDataViaApi"
"","0","cleanupApi","Qase Ultimate Full Automation Suite","2026-07-28","failed","2026-07-28","tests.ui.TestPlanUiTest","Phase 2 - UI Tests Chrome","tests.ui.TestPlanUiTest","cleanupApi"
