"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3332","Проверка работы JS-валидатора регулярных выражений на поле Email","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.ui.LoginTest","Phase 2 - UI Tests Chrome","tests.ui.LoginTest","checkLoginWithInvalidEmailFormat"
"Сквозной бэкенд тест. Генерирует шаги на русском языке через Qwen, валидирует сохранение ID и делает Patch-апдейт структуры","1485","Проверка последовательного создания, обновления, чтения и удаления кейса с ИИ-генерацией шагов","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.api.CaseApiTest","Phase 1 - Pure API Tests Run","tests.api.CaseApiTest","checkCRUDCase"
"","2848","Проверка вывода глобального алерта безопасности при неверном пароле","Qase Ultimate Full Automation Suite","2026-07-29","broken","2026-07-29","tests.ui.LoginTest","Phase 3 - UI Tests Edge","tests.ui.LoginTest","checkLoginWithWrongPassword"
"Тест проверяет корректность сборки древовидной структуры модулей. Генерация названий папок ведется моделью Qwen.","5966","Проверка создания вложенных тест-сьютов (папок) и валидация связей по parent_id","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.api.SuiteApiTest","Phase 1 - Pure API Tests Run","tests.api.SuiteApiTest","checkSuiteCrudLifecycle"
"","4550","Проверка успешного SPA-перехода на дашборд проектов после ввода валидных кредов","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.ui.LoginTest","Phase 2 - UI Tests Chrome","tests.ui.LoginTest","checkSuccessfulLogin"
"Гибридный тест. Быстро готовит репозиторий через бэкэнд, а затем кликами в UI собирает релизный план на базе ИИ-заголовка","4530","Проверка создания тест-плана, открытия дровера выбора кейсов и клика по чекбоксам","Qase Ultimate Full Automation Suite","2026-07-29","broken","2026-07-29","tests.ui.TestPlanUiTest","Phase 3 - UI Tests Edge","tests.ui.TestPlanUiTest","checkCreateTestPlanViaUi"
"Гибридный тест. Быстро готовит репозиторий через бэкэнд, а затем кликами в UI собирает релизный план на базе ИИ-заголовка","9992","Проверка создания тест-плана, открытия дровера выбора кейсов и клика по чекбоксам","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.ui.TestPlanUiTest","Phase 2 - UI Tests Chrome","tests.ui.TestPlanUiTest","checkCreateTestPlanViaUi"
"","2955","Проверка успешного SPA-перехода на дашборд проектов после ввода валидных кредов","Qase Ultimate Full Automation Suite","2026-07-29","broken","2026-07-29","tests.ui.LoginTest","Phase 3 - UI Tests Edge","tests.ui.LoginTest","checkSuccessfulLogin"
"ИИ генерирует креативное IT-название проекта (Aura Fintech Hub и т.д.), тест создает его в React-интерфейсе и подчищает через контекстное меню","7363","Сквозная проверка создания, валидации имени и полного удаления проекта кликами в UI","Qase Ultimate Full Automation Suite","2026-07-29","broken","2026-07-29","tests.ui.ProjectTest","Phase 3 - UI Tests Edge","tests.ui.ProjectTest","checkCreateProject"
"Тест запрашивает уникальные параметры (имя, код) у локальной LLM Qwen, отправляет POST запрос и валидирует ответ бэкенда","3028","Проверка успешного создания нового репозитория проекта с помощью ИИ данных","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.api.ProjectApiTest","Phase 1 - Pure API Tests Run","tests.api.ProjectApiTest","checkCreateProject"
"","2332","Проверка вывода глобального алерта безопасности при неверном пароле","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.ui.LoginTest","Phase 2 - UI Tests Chrome","tests.ui.LoginTest","checkLoginWithWrongPassword"
"","4029","Проверка работы JS-валидатора регулярных выражений на поле Email","Qase Ultimate Full Automation Suite","2026-07-29","broken","2026-07-29","tests.ui.LoginTest","Phase 3 - UI Tests Edge","tests.ui.LoginTest","checkLoginWithInvalidEmailFormat"
"Тест валидирует привязку сгенерированных кейсов к релизному тест-плану и проверяет парсинг массивов в jsonPath ответа","2812","Проверка сборки тест-плана из массива примитивов (ID кейсов) через API","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.api.TestPlanApiTest","Phase 1 - Pure API Tests Run","tests.api.TestPlanApiTest","checkTestPlanCrudLifecycle"
"Тест проверяет стабильность работы тяжелых анимаций и контекстных меню в дереве репозитория без использования жестких sleep","17594","Проверка создания вложенных папок и их размножения через контекстные меню UI","Qase Ultimate Full Automation Suite","2026-07-29","broken","2026-07-29","tests.ui.SuiteUiTest","Phase 3 - UI Tests Edge","tests.ui.SuiteUiTest","checkNestedSuiteAndCloningLifecycle"
"ИИ генерирует креативное IT-название проекта (Aura Fintech Hub и т.д.), тест создает его в React-интерфейсе и подчищает через контекстное меню","11308","Сквозная проверка создания, валидации имени и полного удаления проекта кликами в UI","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.ui.ProjectTest","Phase 2 - UI Tests Chrome","tests.ui.ProjectTest","checkCreateProject"
"Тест проверяет стабильность работы тяжелых анимаций и контекстных меню в дереве репозитория без использования жестких sleep","23372","Проверка создания вложенных папок и их размножения через контекстные меню UI","Qase Ultimate Full Automation Suite","2026-07-29","passed","2026-07-29","tests.ui.SuiteUiTest","Phase 2 - UI Tests Chrome","tests.ui.SuiteUiTest","checkNestedSuiteAndCloningLifecycle"
